,File Type,Directory,File Name,Functions,Imports
619,Javascript,chrome/content/zotero/xpcom/data,feedItem.js,['error'],[]
620,Javascript,chrome/content/zotero/xpcom/data,feedItems.js,[],[]
621,Javascript,chrome/content/zotero/xpcom/data,feeds.js,[],[]
622,Javascript,chrome/content/zotero/xpcom/data,group.js,[],[]
623,Javascript,chrome/content/zotero/xpcom/data,groups.js,[],[]
624,Javascript,chrome/content/zotero/xpcom/data,item.js,"['sorter', 'getFileSize', 'log']",[]
625,Javascript,chrome/content/zotero/xpcom/data,itemFields.js,"['getID', 'getName', 'isValidForType', 'isInteger', 'getItemTypeFields', 'isBaseField', 'isFieldOfBase', 'getFieldIDFromTypeAndBase', 'getBaseIDFromTypeAndField', 'getTypeFieldsFromBase', '_fieldCheck']",[]
626,Javascript,chrome/content/zotero/xpcom/data,items.js,"['fixIncorrectIndexes', 'onRow', 'doMerge', 'logAndBeSafe', '_getFirstCreatorSQL', '_getSortCreatorSQL']",[]
627,Javascript,chrome/content/zotero/xpcom/data,libraries.js,[],[]
628,Javascript,chrome/content/zotero/xpcom/data,library.js,[],[]
629,Javascript,chrome/content/zotero/xpcom/data,notes.js,"['resolvePromise', 'pullItemData']",[]
630,Javascript,chrome/content/zotero/xpcom/data,relations.js,[],[]
631,Javascript,chrome/content/zotero/xpcom/data,search.js,[],[]
632,Javascript,chrome/content/zotero/xpcom/data,searchConditions.js,"['get', 'getStandardConditions', 'hasOperator', 'getLocalizedName', 'parseSearchString', 'parseCondition']",[]
633,Javascript,chrome/content/zotero/xpcom/data,searches.js,[],[]
634,Javascript,chrome/content/zotero/xpcom/data,tags.js,['_canvasRoundRect'],[]
635,Javascript,chrome/content/zotero/xpcom,dataDirectory.js,['addError'],[]
636,Javascript,chrome/content/zotero/xpcom,db.js,[],[]
637,Javascript,chrome/content/zotero/xpcom,debug.js,[],[]
638,Javascript,chrome/content/zotero/xpcom,dictionaries.js,['_loadDirectory'],[]
639,Javascript,chrome/content/zotero/xpcom,dns_worker.js,"['getIPForLookup', 'isLocalIP', 'skipName', 'reverseLookup']",[]
640,Javascript,chrome/content/zotero/xpcom,duplicates.js,"['normalizeString', 'sortByValue', 'processRows']",[]
641,Javascript,chrome/content/zotero/xpcom,editorInstance.js,"['fillWithItemData', 'appendItems', 'CI', 'getFormatter', 'walkFormat']",[]
642,Javascript,chrome/content/zotero/xpcom,error.js,[],[]
643,Javascript,chrome/content/zotero/xpcom,feedReader.js,['iterator'],[]
644,Javascript,chrome/content/zotero/xpcom,file.js,"['getExtension', 'getContentsFromURL', 'getContentsFromURLAsync', 'putContents', 'checkError', 'addError', 'getValidFileName', 'truncateFileName']",[]
645,Javascript,chrome/content/zotero/xpcom,fileDragDataProvider.js,[],[]
646,Javascript,chrome/content/zotero/xpcom,fileHandlers.js,[],[]
647,Javascript,chrome/content/zotero/xpcom,fulltext.js,"['getClass', '_processNextItem', 'findTextInString', 'getChars', 'setPages', 'setChars', 'getPageData', '_getScriptExtension']",[]
648,Javascript,chrome/content/zotero/xpcom,history.js,"['begin', 'setAssociatedID', 'add', 'modify', 'remove', 'commit', 'cancel', 'getPreviousEvent', 'getNextEvent', 'undo', 'redo', 'clear', 'clearAfter', '_addTransaction', '_do', '_parseContext', '_contextToSQLFrom', '_contextToSQLWhere', '_getSetData', '_reloadAndNotify']",[]
649,Javascript,chrome/content/zotero/xpcom,http.js,"['clearConnectTimer', 'resetInactivityTimer', 'wrapNotificationCallbacks', '_stateChange', '_checkConnection', '_checkRetry']",[]
650,Javascript,chrome/content/zotero/xpcom,id.js,"['_getTableColumn', '_getNext']",[]
651,Javascript,chrome/content/zotero/xpcom,integration.js,"['listener', 'dealWithRetracted', 'unserialize', 'upgradeCruft', 'unserializePreZotero1_0']",[]
652,Javascript,chrome/content/zotero/xpcom,intl.js,"['getIntlProp', 'setOrClearIntlPref', 'getLocaleCollation']",[]
653,Javascript,chrome/content/zotero/xpcom,ipc.js,[],[]
654,Javascript,chrome/content/zotero/xpcom,isbn.js,[],[]
655,Javascript,chrome/content/zotero/xpcom/localAPI,server_localAPI.js,"['buildURL', 'toResponseJSON', 'citeprocToHTML', 'exportItems', 'evaluateSearchSyntax']",[]
656,Javascript,chrome/content/zotero/xpcom,locale.js,[],[]
657,Javascript,chrome/content/zotero/xpcom,locateManager.js,"['_getLocateFile', '_getLocateDirectory', '_getDefaultFile', '_serializeLocateEngines', '_watchLocateEngineProperties', '_lookupParam', 'LocateSubmission', 'LocateEngine']",[]
658,Javascript,chrome/content/zotero/xpcom,mime.js,"['isTextType', 'getPrimaryExtension', 'sniffForBinary', 'hasNativeHandler', '_isTextCharacter']",[]
659,Javascript,chrome/content/zotero/xpcom,mimeTypeHandler.js,['_StreamListener'],[]
660,Javascript,chrome/content/zotero/xpcom,notifier.js,"['_mergeEvent', '_logTrigger', '_getObserverOrder', '_countObserversForType', 'getSorter']",[]
661,Javascript,chrome/content/zotero/xpcom/pdfWorker,manager.js,[],[]
662,Javascript,chrome/content/zotero/xpcom/pluginAPI,itemPaneManager.js,[],[]
663,Javascript,chrome/content/zotero/xpcom/pluginAPI,itemTreeManager.js,[],['COLUMNS']
664,Javascript,chrome/content/zotero/xpcom/pluginAPI,pluginAPIBase.mjs,[],[]
665,Javascript,chrome/content/zotero/xpcom,plugins.js,"['onload', '_loadScope', '_callMethod', '_getReasonName', '_unloadScope', 'setDefaultPrefs', 'clearDefaultPrefs', 'registerLocales', 'unregisterLocales', 'readDirectory', 'getVersionChangeReason', 'getBlockedPlugins', 'shouldBlockPlugin', 'setPluginBlocked']",[]
666,Javascript,chrome/content/zotero/xpcom,preferencePanes.js,[],[]
