Directory,File Name,Function Types,Function Names,Function Params
chrome/content/zotero,browserWindowShim.js,ClassMethod,getContentWindowOrOpenURIInFrame,aURI
chrome/content/zotero,browserWindowShim.js,ClassMethod,getContentWindowOrOpenURIInFrame,aParams
chrome/content/zotero,browserWindowShim.js,ClassMethod,getContentWindowOrOpenURIInFrame,aWhere
chrome/content/zotero,browserWindowShim.js,ClassMethod,getContentWindowOrOpenURIInFrame,aFlags
chrome/content/zotero,browserWindowShim.js,ClassMethod,getContentWindowOrOpenURIInFrame,aName
chrome/content/zotero,browserWindowShim.js,ClassMethod,getContentWindowOrOpenURIInFrame,aSkipLoad
chrome/content/zotero,browserWindowShim.js,ClassMethod,canClose,NONE
chrome/content/zotero,browserWindowShim.js,ClassMethod,tabCount,NONE
chrome/content/zotero,captcha.js,NONE,NONE,NONE
chrome/content/zotero,charsetMenu.js,FunctionDeclaration,populate,charsetMenu
chrome/content/zotero,charsetMenu.js,FunctionDeclaration,populate,exportMenu
chrome/content/zotero,collectionTree.jsx,NONE,NONE,NONE
chrome/content/zotero,commonDialog.js,NONE,NONE,NONE
chrome/content/zotero/components,annotation.jsx,NONE,NONE,NONE
chrome/content/zotero/components,button.jsx,NONE,NONE,NONE
chrome/content/zotero/components/createParent,createParent.jsx,NONE,NONE,NONE
chrome/content/zotero/components,draggable.jsx,ClassMethod,componentWillUnmount,NONE
chrome/content/zotero/components,draggable.jsx,ClassMethod,clear,NONE
chrome/content/zotero/components,draggable.jsx,ClassMethod,render,NONE
chrome/content/zotero/components,editable.jsx,NONE,NONE,NONE
chrome/content/zotero/components/editable,content.jsx,NONE,NONE,NONE
chrome/content/zotero/components/form,input.jsx,NONE,NONE,NONE
chrome/content/zotero/components/form,select.jsx,NONE,NONE,NONE
chrome/content/zotero/components/form,textArea.jsx,NONE,NONE,NONE
chrome/content/zotero/components,icons.jsx,NONE,NONE,NONE
chrome/content/zotero/components,progressQueueTable.jsx,NONE,NONE,NONE
chrome/content/zotero/components,search.jsx,NONE,NONE,NONE
chrome/content/zotero/components,tabBar.jsx,NONE,NONE,NONE
chrome/content/zotero/components,tagSelector.jsx,NONE,NONE,NONE
chrome/content/zotero/components/tagSelector,tagSelectorList.jsx,NONE,NONE,NONE
chrome/content/zotero/components,tooltip.js,FunctionDeclaration,handleMouseDown,NONE
chrome/content/zotero/components,tooltip.js,FunctionDeclaration,handleMouseMove,event
chrome/content/zotero/components,tooltip.js,FunctionDeclaration,handleMouseStop,NONE
chrome/content/zotero/components,tooltip.js,FunctionDeclaration,hidePopup,NONE
chrome/content/zotero/components,utils.js,FunctionExpression,noop,NONE
chrome/content/zotero/components,utils.js,FunctionDeclaration,getDragTargetOrient,event
chrome/content/zotero/components,utils.js,FunctionDeclaration,getDragTargetOrient,target
chrome/content/zotero/components,utils.js,FunctionDeclaration,createDragHandler,[ComplexParam]
